OBJECTID,TRACT,GEOID,P0010001,P0010002,P0010003,P0010004,P0010005,P0010006,P0010007,P0010008,OP000001,OP000002,OP000003,OP000004,P0020002,P0020005,P0020006,P0020007,P0020008,P0020009,P0020010,OP00005,OP00006,OP00007,OP00008,P0030001,P0030003,P0030004,P0030005,P0030006,P0030007,P0030008,OP00009,OP00010,OP00011,OP00012,P0040002,P0040005,P0040006,P0040007,P0040008,P0040009,P0040010,OP000013,OP000014,OP000015,OP000016,H0010001,H0010002,H0010003,ACRES,SQ_MILES,Shape_Length,Shape_Area,FAGI_TOTAL_2010,FAGI_MEDIAN_2010,FAGI_TOTAL_2013,FAGI_MEDIAN_2013,FAGI_TOTAL_2011,FAGI_MEDIAN_2011,FAGI_TOTAL_2012,FAGI_MEDIAN_2012,FAGI_TOTAL_2014,FAGI_MEDIAN_2014,FAGI_TOTAL_2015,FAGI_MEDIAN_2015
156,11000,11001011000,3715,3584,1632,1712,29,140,3,68,90,49,40,3,183,1560,1683,24,139,3,13,77,40,36,3,3354,1593,1455,23,130,3,54,58,40,28,2,158,1524,1429,20,130,3,11,48,32,25,2,2673,2345,328,254.1223879,0.39706623,5794.137106,1028396.824,142255206,61476,159856545,66090,159085656,61805,167859350,64116,173116968.4,67450,184361322,70438.5
157,11100,11001011100,4859,4727,322,4192,24,15,1,173,110,58,19,3,337,241,4147,18,15,1,8,88,46,19,3,3945,279,3410,21,13,1,123,85,43,12,3,237,223,3379,15,13,1,5,70,37,12,3,1868,1727,141,1497.651271,2.34008013,13673.10714,6060779.699,101111776,40473,108672370,40625.5,99900451,40198,104974019,41009,115762533,41166,122414153,42315
158,9301,11001009301,3143,3031,979,1915,14,71,0,52,75,32,24,1,221,866,1891,13,67,0,3,56,30,23,1,2617,866,1555,13,66,0,39,50,31,18,1,175,768,1535,12,62,0,3,42,29,17,1,1230,1162,68,272.1330731,0.42520793,4589.378118,1101283.481,80177844.52,46848,96067410,47415,89517062,46693,96422375.11,47221,116557623,54943,124565445,57282.5
159,7809,11001007809,2922,2875,58,2768,9,4,0,36,40,19,6,0,86,35,2753,5,4,0,1,38,16,6,0,2129,51,2011,8,3,0,26,24,17,1,0,65,33,2001,4,3,0,1,22,14,1,0,1339,1135,204,132.2389549,0.20662337,3874.359987,535152.0669,37559798.37,27390,41012846,24953,37380788,25825.5,39381158,25178,44647455,27046,48307774,28461
160,7901,11001007901,3822,3730,397,3252,16,24,0,41,85,32,21,3,115,349,3240,11,24,0,7,73,30,18,2,2771,362,2287,13,24,0,30,50,24,11,3,76,327,2280,9,24,0,6,47,23,9,2,1784,1540,244,98.41517823,0.15377372,2551.393623,398272.0984,54104963,29975,68844302,31673,60769648,29766,65914144,30020.5,76444757,34692,85297510,37573
161,7903,11001007903,1774,1749,156,1536,6,10,0,41,22,14,3,1,95,120,1518,6,9,0,4,22,12,3,1,1407,136,1205,5,10,0,31,17,11,2,1,70,112,1192,5,9,0,2,17,9,2,1,880,778,102,59.94389871,0.09366234,2170.9454,242584.3529,33231634,36257,41719677,39557,34946070,36732,38094648,36321.5,46326405,44633,53049430,47103
162,8001,11001008001,2784,2701,1321,1247,10,65,1,57,51,21,26,7,138,1264,1235,7,62,1,9,42,16,24,7,2397,1168,1058,10,58,1,40,39,19,16,4,111,1119,1049,7,55,1,5,32,14,14,4,1391,1286,105,80.43091395,0.1256733,2400.602905,325492.3626,100414811,60366,126560393,67249,113921738,63888,122354172,66117.5,130054316,70322,144770934,75309.5
163,8002,11001008002,3031,2946,1662,1158,6,74,3,43,43,14,31,3,114,1602,1152,4,73,3,8,40,13,30,0,2614,1450,1014,6,65,1,33,19,10,16,2,91,1400,1011,4,64,1,6,17,9,15,0,1644,1477,167,142.8506356,0.22320412,3883.368027,578096.0156,121769571,67000.5,162596832,72447,142225876,68264,160531068,70314,156077250.8,75659.5,173685028,80922
164,8100,11001008100,2910,2823,2276,422,11,75,1,38,33,19,47,1,133,2195,413,10,74,1,4,31,17,47,1,2551,2027,366,11,62,1,26,23,19,29,1,106,1957,361,10,61,1,2,21,17,29,1,1549,1452,97,72.21812179,0.11284082,2331.345985,292256.3717,139606334,81428,168364052,72100,166143944,77408,167686490,77394,173483443,85914,194119047,90338
165,8200,11001008200,2918,2843,2515,156,12,116,1,43,15,14,50,2,134,2443,152,9,113,1,2,11,11,45,2,2674,2328,146,12,106,1,37,12,11,23,2,119,2260,142,9,103,1,2,9,8,23,2,1655,1522,133,84.04524066,0.13132069,3038.867812,340119.024,117647812,70126.5,147633111,67792.5,142848043,69117.5,155157942,70452,143780010,77086,159931869,78676
166,8301,11001008301,2279,2225,1743,383,5,67,1,26,21,7,31,1,80,1703,373,5,66,1,2,19,5,31,1,2039,1585,331,4,59,1,23,14,6,19,1,71,1546,324,4,58,1,1,14,5,19,1,1154,1072,82,75.10652056,0.11735394,2368.737543,303945.3069,100958815,79178,126739845,80765,117129497,71931,125316966,77114.5,137994779,83172.5,159487649,82900
167,8302,11001008302,2206,2141,1553,490,12,66,2,18,20,12,36,2,94,1487,487,10,64,2,9,18,8,31,2,1940,1367,448,11,60,2,9,15,12,18,2,62,1322,447,9,58,2,4,15,8,17,2,1032,966,66,64.46191668,0.10072175,2372.700178,260868.1231,98202439,75686,121676185,69139,115145078,72632,124644728,70932,122260480,77004.5,148237948,80862
168,8402,11001008402,2149,2081,1156,846,7,51,4,17,34,21,20,6,99,1095,830,5,49,4,5,32,20,19,4,1920,1036,756,6,49,4,14,24,18,17,5,76,990,741,4,49,4,5,24,17,17,3,1270,1174,96,66.30755803,0.10360556,2657.40565,268337.1687,64090679,50048,84827411,55894.5,76375227,50961,83894892,54722,78279904,59253,95344734,63150
169,8410,11001008410,1489,1463,451,958,4,24,3,23,16,10,3,1,71,421,942,4,22,3,4,16,8,3,1,1232,414,754,4,24,3,14,10,10,2,1,57,385,744,4,22,3,2,10,8,2,1,681,604,77,54.39444927,0.08499133,2326.095337,220126.5277,41390921,46940,54787972,48372,47944604,46774,51016505,48283,60603534,55593,71052704,58733
170,9400,11001009400,4163,4038,370,3467,23,42,0,136,94,50,20,1,266,301,3424,22,41,0,12,80,44,18,1,3397,314,2846,20,36,0,94,69,42,10,1,180,264,2820,20,35,0,10,58,37,8,1,1792,1651,141,393.0247235,0.61410113,5500.077285,1590514.636,111394852,48688,122069723,49363.5,112928463,48019,119206939,49071,135842841,51938.5,139399116,52796.5
171,9501,11001009501,5797,5595,2128,2827,36,108,10,486,99,49,58,15,831,1926,2778,21,102,5,9,78,42,54,12,5099,2093,2351,27,105,8,347,73,43,55,12,636,1916,2311,19,99,3,9,59,36,51,9,1954,1802,152,393.9402587,0.61553166,6251.167008,1594219.675,54810127,28094,66633719.98,28334,60953895,28147,64279289,27023,62507127.54,27422.5,71687637,29720.5
172,9503,11001009503,2910,2810,432,2301,4,41,0,32,84,50,22,4,113,377,2276,3,41,0,7,79,48,21,4,2433,384,1917,4,36,0,22,59,42,11,4,83,342,1898,3,36,0,6,56,40,10,4,1256,1200,56,351.7480803,0.54960638,5448.746349,1423473.986,103688476,55760,93340693.3,55128,91164685,52882,103746641,55310.5,108517270,56626.5,113767916,60025
173,9504,11001009504,3025,2940,643,2204,10,40,0,43,66,27,24,5,120,592,2187,5,40,0,3,62,27,24,5,2603,579,1892,7,38,0,28,44,20,17,3,89,540,1876,4,38,0,2,40,20,17,3,1354,1254,100,253.5906496,0.39623539,4227.41219,1026244.955,69274045,43233,76802968,44206.5,72545466,41582,78335079,43487,83501617,44864.5,92795105,48695.5
174,9505,11001009505,2630,2571,145,2274,3,25,6,118,49,19,14,4,201,109,2249,2,25,2,4,36,13,11,0,2197,113,1934,2,22,4,82,33,13,7,1,140,89,1913,1,22,2,2,26,12,6,0,1217,1138,79,254.6686584,0.39791978,4571.653132,1030607.502,69676775,42972,74524698,41734,69233046,41221,72487872,42196,94197523,45732,105022944,46330
175,9507,11001009507,1489,1460,53,1304,11,1,0,91,22,10,4,4,156,16,1292,2,1,0,1,21,9,4,4,1209,38,1075,10,1,0,64,15,10,4,1,110,14,1067,2,1,0,1,14,9,4,1,607,583,24,72.81292728,0.1137702,2483.115055,294663.4642,35008824,38577.5,37021683,38410,34437488,36996,36555449,39274,39838674,38723,41834568.92,39851
176,9508,11001009508,3290,3240,257,2821,11,30,0,121,38,24,11,2,235,182,2793,6,29,0,3,36,22,11,1,2785,227,2394,7,27,0,90,30,22,7,2,171,170,2376,5,26,0,3,28,20,7,1,1742,1578,164,231.9179867,0.36237186,5772.875428,938538.7995,67315108.95,38902,74438513.8,36844,70488991,37979,74847040,37529,76756174,38133.5,82172651,38670.5
177,9509,11001009509,2940,2888,165,2592,5,33,0,93,48,7,14,3,169,124,2565,2,33,0,13,33,4,8,3,2400,142,2126,4,30,0,66,29,6,10,3,116,112,2114,2,30,0,5,20,4,7,3,1320,1258,62,159.553962,0.24930307,3306.197043,645691.9795,75556930,44708,83396856.4,45890,78005645,45617.5,80688699,44771,90266682,48269,94453371,50505
178,9601,11001009601,2445,2420,27,2359,3,5,3,23,24,7,2,4,36,16,2357,3,5,3,0,24,7,2,4,1598,23,1534,3,2,2,18,15,6,2,4,27,16,1532,3,2,2,0,15,6,2,4,847,786,61,514.8501708,0.8044534,6716.549762,2083524.733,27940966,24949,31190145,22438,29485769,24312,29883780,22301,33222152,25221,34565858,27655
179,9602,11001009602,3280,3220,24,3166,9,3,0,18,58,26,3,0,40,20,3156,6,3,0,1,52,26,3,0,2287,17,2206,5,3,0,13,41,20,2,0,25,15,2199,4,3,0,1,38,20,2,0,1545,1445,100,341.0055984,0.53282125,4742.071398,1380000.704,28881426,24409,34651347,23135.5,29422702,23832,32067205,22962.5,41181793,23438,45174162,25037
